pair,pair_effect_mean,pair_effect_sd,referee,team,n_matches,yellows_total,yellows_mean,expected_nonpair,oe_ratio_raw,rate_ratio_shrunk,z,abs_rank,is_argentina,pair_effect_mean_2vc,abs_rank_2vc
Bo Karlsson | Argentina,-0.001549,0.038847,Bo Karlsson,Argentina,1,1,1.0,1.992214,0.501954,0.998452,-0.039868,412,True,-0.000233,524
Günter Benkö | South Korea,-0.001548,0.038847,Günter Benkö,South Korea,1,1,1.0,1.993404,0.501655,0.998453,-0.039859,413,False,-0.000283,439
Sándor Puhl | Mexico,-0.001538,0.038847,Sándor Puhl,Mexico,1,1,1.0,1.989316,0.502685,0.998464,-0.039581,414,False,-0.000239,514
Gamal Al-Ghandour | United States,-0.001534,0.038847,Gamal Al-Ghandour,United States,1,1,1.0,1.988748,0.502829,0.998467,-0.03948,415,False,-0.000319,393
Terje Hauge | Saudi Arabia,-0.001529,0.038847,Terje Hauge,Saudi Arabia,1,1,1.0,1.97742,0.50571,0.998472,-0.03936,416,False,-0.000319,394
Marc Batta | Chile,-0.001524,0.038818,Marc Batta,Chile,1,2,2.0,2.955673,0.676665,0.998477,-0.039265,417,False,-0.000216,557
Gamal Al-Ghandour | Austria,-0.001522,0.038848,Gamal Al-Ghandour,Austria,1,1,1.0,1.978118,0.505531,0.998479,-0.039191,418,False,-0.000266,465
Ángel Sánchez | Portugal,0.00152,0.03885,Ángel Sánchez,Portugal,1,3,3.0,1.961001,1.529831,1.001521,0.039115,419,False,0.000313,400
Emilio Soriano Aladrén | Egypt,-0.001517,0.038847,Emilio Soriano Aladrén,Egypt,1,1,1.0,1.969362,0.507779,0.998484,-0.039062,420,False,-0.000304,408
Facundo Tello | Cameroon,-0.001516,0.038847,Facundo Tello,Cameroon,1,1,1.0,1.970825,0.507402,0.998485,-0.039019,421,False,-0.000289,429
Mark Geiger | Morocco,-0.001516,0.038848,Mark Geiger,Morocco,1,1,1.0,1.973549,0.506701,0.998486,-0.039015,422,False,-0.000301,413
Alireza Faghani | France,0.001514,0.03885,Alireza Faghani,France,1,3,3.0,1.967488,1.524787,1.001515,0.038966,423,False,0.000259,481
Horacio Elizondo | Czech Republic,-0.001512,0.038848,Horacio Elizondo,Czech Republic,1,1,1.0,1.971312,0.507276,0.998489,-0.038924,424,False,-0.000271,459
Iván Barton | Senegal,-0.001509,0.038847,Iván Barton,Senegal,1,1,1.0,1.963079,0.509404,0.998492,-0.038838,425,False,-0.000273,454
Jorge Larrionda | Germany,-0.001507,0.038848,Jorge Larrionda,Germany,1,1,1.0,1.972,0.507099,0.998495,-0.03878,426,False,-0.000297,420
Lim Kee Chong | Colombia,-0.001506,0.038848,Lim Kee Chong,Colombia,1,1,1.0,1.964306,0.509086,0.998495,-0.038779,427,False,-0.000293,425
Massimo Busacca | Mexico,0.001506,0.038819,Massimo Busacca,Mexico,1,4,4.0,2.957741,1.352383,1.001507,0.038788,428,False,0.00036,343
Djamel Haimoudi | England,0.001505,0.038878,Djamel Haimoudi,England,1,2,2.0,0.987845,2.024609,1.001507,0.03872,429,False,0.000238,516
Björn Kuipers | Costa Rica,-0.001502,0.038848,Björn Kuipers,Costa Rica,1,1,1.0,1.964074,0.509146,0.998499,-0.038675,430,False,-0.000271,458
