official,matches,wins,draws,losses,card_net,roles,years,ref_matches,win_pct,card_net_pm
Gastón Castro,1,0,0,1,1,assistant1,1982,0,0,1.0
Gery Vargas,1,0,1,0,0,avar3,2018,0,0,0.0
Gilberto Aristizábal,1,0,0,1,1,assistant2,1982,0,0,1.0
Gottfried Dienst,1,0,0,1,0,assistant1,1966,0,0,0.0
Heinz Aldinger,1,0,0,1,-2,assistant2,1974,0,0,-2.0
Héctor Vergara,1,0,0,1,1,assistant1,2002,0,0,1.0
Jakhongir Saidov,1,0,0,1,1,assistant2,2018,0,0,1.0
Jan Keizer,1,0,1,0,-1,referee,1986,1,0,-1.0
Joe Fletcher,1,0,1,0,0,avar2,2018,0,0,0.0
Kurt Tschenscher,1,0,0,1,1,assistant1,1974,0,0,1.0
Luis Medina Cantalejo,1,0,1,0,1,referee,2006,1,0,1.0
Maguette Ndiaye,1,0,0,1,6,fourth_official,2022,0,0,6.0
Mario Rubio Vázquez,1,0,0,1,1,referee,1982,1,0,1.0
Mark Geiger,1,0,1,0,0,var,2018,0,0,0.0
Martin Balko,1,0,0,1,-1,assistant2,2006,0,0,-1.0
Michael Ragoonath,1,0,1,0,-1,assistant2,2002,0,0,-1.0
Mohamed Saeed,1,0,0,1,1,assistant2,2002,0,0,1.0
Mohammadreza Mansouri,1,0,0,1,-2,assistant2,2018,0,0,-2.0
Nikolay Latyshev,1,0,0,1,0,referee,1962,1,0,0.0
Owen Powell,1,0,0,1,0,assistant1,1998,0,0,0.0
Pedro Medina Hernández,1,0,1,0,1,assistant2,2006,0,0,1.0
Peter Prendergast,1,0,1,0,-1,fourth_official,2002,0,0,-1.0
Reginato,1,0,0,1,0,assistant2,1962,0,0,0.0
Reza Sokhandan,1,0,0,1,-2,assistant1,2018,0,0,-2.0
Ricardo de Burgos Bengoetxea,1,0,0,1,6,avar3,2022,0,0,6.0
Roman Slysko,1,0,0,1,-1,assistant1,2006,0,0,-1.0
Rudi Glöckner,1,0,1,0,0,assistant1,1974,0,0,0.0
Rudolf Kreitlein,1,0,0,1,0,referee,1966,1,0,0.0
Slavko Vinčić,1,0,0,1,6,referee,2022,1,0,6.0
Tapio Yli-Karro,1,0,0,1,3,assistant1,1994,0,0,3.0
Tomaž Klančnik,1,0,0,1,6,assistant1,2022,0,0,6.0
Turbiani,1,0,0,1,0,assistant2,1934,0,0,0.0
Victoriano Giráldez Carrasco,1,0,1,0,1,assistant1,2006,0,0,1.0
Vincent Mauro,1,0,0,1,2,assistant1,1990,0,0,2.0
Vital Loraux,1,0,0,1,-1,referee,1974,1,0,-1.0
Vojtěch Christov,1,0,0,1,0,referee,1982,1,0,0.0
Wilmar Roldán,1,0,1,0,0,fourth_official,2018,0,0,0.0
Ľuboš Micheľ,1,0,0,1,-1,referee,2006,1,0,-1.0
