year,team,stage,opp,opp_elo
2026,Germany,round of 32,Paraguay,1834
2026,Paraguay,round of 32,Germany,1932
2026,Netherlands,round of 32,Morocco,1827
2026,Morocco,round of 32,Netherlands,1948
2026,Ivory Coast,round of 32,Norway,1914
2026,Norway,round of 32,Ivory Coast,1695
2026,France,round of 32,Sweden,1712
2026,Sweden,round of 32,France,2063
2026,Mexico,round of 32,Ecuador,1938
2026,Ecuador,round of 32,Mexico,1875
2026,England,round of 32,DR Congo,1652
2026,DR Congo,round of 32,England,2024
2026,Belgium,round of 32,Senegal,1860
2026,Senegal,round of 32,Belgium,1894
2026,United States,round of 32,Bosnia and Herzegovina,1595
2026,Bosnia and Herzegovina,round of 32,United States,1726
2026,Spain,round of 32,Austria,1830
2026,Austria,round of 32,Spain,2157
2026,Portugal,round of 32,Croatia,1912
2026,Croatia,round of 32,Portugal,1989
2026,Switzerland,round of 32,Algeria,1772
2026,Algeria,round of 32,Switzerland,1891
2026,Australia,round of 32,Egypt,1696
2026,Egypt,round of 32,Australia,1777
2026,Argentina,round of 32,Cape Verde,1578
2026,Cape Verde,round of 32,Argentina,2115
2026,Colombia,round of 32,Ghana,1510
2026,Ghana,round of 32,Colombia,1982
2026,Canada,round of 16,Morocco,1827
2026,Morocco,round of 16,Canada,1788
2026,Paraguay,round of 16,France,2063
2026,France,round of 16,Paraguay,1834
2026,Brazil,round of 16,Norway,1914
2026,Norway,round of 16,Brazil,1991
2026,Mexico,round of 16,England,2024
2026,England,round of 16,Mexico,1875
2026,Portugal,round of 16,Spain,2157
2026,Spain,round of 16,Portugal,1989
2026,United States,round of 16,Belgium,1894
2026,Belgium,round of 16,United States,1726
2026,Argentina,round of 16,Egypt,1696
2026,Egypt,round of 16,Argentina,2115
2026,Switzerland,round of 16,Colombia,1982
2026,Colombia,round of 16,Switzerland,1891
2026,France,quarter-finals,Morocco,1827
2026,Morocco,quarter-finals,France,2063
2026,Spain,quarter-finals,Belgium,1894
2026,Belgium,quarter-finals,Spain,2157
2026,Norway,quarter-finals,England,2024
2026,England,quarter-finals,Norway,1914
2026,Argentina,quarter-finals,Switzerland,1891
2026,Switzerland,quarter-finals,Argentina,2115
2026,France,semi-finals,Spain,2157
2026,Spain,semi-finals,France,2063
2026,England,semi-finals,Argentina,2115
2026,Argentina,semi-finals,England,2024
