official,matches,wins,draws,losses,roles,years,others_matches,win_pct,others_win_pct,expected_win_pct,delta_vs_expected,scope
Turbiani,1,0,0,1,assistant2,1934,0,0.0,-1,0.0,0.0,crew
Ulf Eriksson,1,1,0,0,referee,1978,4,100.0,50,50.0,50.0,crew
Ulises Saucedo,4,3,0,1,assistant1/assistant2/referee,1930,4,75.0,50,82.0,-7.0,crew
Victor Gomes,1,1,0,0,fourth_official,2022,4,100.0,50,40.0,60.0,crew
Victoriano Giráldez Carrasco,1,0,1,0,assistant1,2006,6,0.0,50,60.0,-60.0,crew
Victoriano Sánchez Arminio,1,1,0,0,referee,1986,6,100.0,33,100.0,0.0,crew
Vincent Mauro,1,0,0,1,assistant1,1990,10,0.0,50,63.0,-63.0,crew
Vital Loraux,1,0,0,1,referee,1974,12,0.0,33,33.0,-33.0,crew
Vojtěch Christov,1,0,0,1,referee,1982,16,0.0,44,100.0,-100.0,crew
Walter Vromans,2,2,0,0,assistant2,2006/2010,10,100.0,40,82.0,18.0,crew
Werner Winsemann,1,1,0,0,assistant2,1978,12,100.0,42,67.0,33.0,crew
William Torres,1,1,0,0,assistant1,2014,2,100.0,0,63.0,37.0,crew
Willy Delajod,1,1,0,0,avar1,2026,18,100.0,28,63.0,37.0,crew
Wilmar Roldán,1,0,1,0,fourth_official,2018,12,0.0,42,63.0,-63.0,crew
Wolfgang Stark,1,1,0,0,referee,2010,6,100.0,50,100.0,0.0,crew
Youssou N'Diaye,3,2,0,1,assistant1/assistant2,1974/1978,8,67.0,38,49.0,18.0,crew
Éric Poulat,1,1,0,0,fourth_official,2006,8,100.0,50,63.0,37.0,crew
Ľuboš Micheľ,1,0,0,1,referee,2006,14,0.0,43,0.0,0.0,crew
Abraham Klein,1,0,0,1,referee,1978,8,0.0,50,25.0,-25.0,referee
Ali Bin Nasser,1,1,0,0,referee,1986,2,100.0,50,40.0,60.0,referee
Ali Bujsaim,1,0,1,0,referee,2002,12,0.0,50,0.0,0.0,referee
Alireza Faghani,1,0,0,1,referee,2018,16,0.0,44,100.0,-100.0,referee
Amin Omar,1,1,0,0,referee,2026,2,100.0,50,63.0,37.0,referee
Antonio Mateu Lahoz,1,1,0,0,referee,2022,8,100.0,38,40.0,60.0,referee
Antonio Márquez Ramírez,1,1,0,0,referee,1986,2,100.0,50,50.0,50.0,referee
António Garrido,1,1,0,0,referee,1978,4,100.0,50,50.0,50.0,referee
Arthur Edward Ellis,1,0,0,1,referee,1958,10,0.0,40,63.0,-63.0,referee
Arturo Angeles,1,1,0,0,referee,1994,0,100.0,-1,100.0,0.0,referee
Arturo Brizio Carter,1,0,0,1,referee,1998,10,0.0,50,60.0,-60.0,referee
Arturo Yamasaki Maldonado,1,0,1,0,referee,1962,8,0.0,50,100.0,-100.0,referee
Belaïd Lacarne,1,1,0,0,referee,1982,0,100.0,-1,50.0,50.0,referee
Berny Ulloa Morera,1,1,0,0,referee,1986,0,100.0,-1,50.0,50.0,referee
Bo Karlsson,1,1,0,0,referee,1994,0,100.0,-1,100.0,0.0,referee
Bobby Davidson,1,0,0,1,referee,1974,6,0.0,33,60.0,-60.0,referee
Carlos Silva Valente,1,0,1,0,referee,1990,4,0.0,50,0.0,0.0,referee
Clive Thomas,1,0,0,1,referee,1974,4,0.0,25,100.0,-100.0,referee
Cüneyt Çakır,2,2,0,0,referee,2014/2018,8,100.0,25,70.0,30.0,referee
Daniele Orsato,2,2,0,0,referee,2022,2,100.0,50,75.0,25.0,referee
Danny Makkelie,1,1,0,0,referee,2022,8,100.0,38,50.0,50.0,referee
Dimitar Rumenchev,1,1,0,0,referee,1966,0,100.0,-1,63.0,37.0,referee
Drew Fischer,1,1,0,0,referee,2026,4,100.0,50,63.0,37.0,referee
Edgardo Codesal,1,0,0,1,referee,1990,4,0.0,50,33.0,-33.0,referee
