era,metric,team,matches,count,rate,field_rate,direction,favorable,p,signif_fdr10
1990-2018,pen_goals_for,Romania,13,1,0.07692307692307693,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Russia,14,4,0.2857142857142857,0.1168032786885246,high,True,0.08234023469172376,False
1990-2018,pen_goals_for,Saudi Arabia,16,4,0.25,0.1168032786885246,high,True,0.11844186500778929,False
1990-2018,pen_goals_for,Scotland,6,2,0.3333333333333333,0.1168032786885246,high,True,0.15576711833166815,False
1990-2018,pen_goals_for,Senegal,8,1,0.125,0.1168032786885246,high,True,0.6086984941952662,False
1990-2018,pen_goals_for,Serbia,6,0,0.0,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Serbia and Montenegro,3,0,0.0,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Slovakia,4,1,0.25,0.1168032786885246,high,True,0.3738548981208626,False
1990-2018,pen_goals_for,Slovenia,6,0,0.0,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,South Africa,9,2,0.2222222222222222,0.1168032786885246,high,True,0.28316425038304055,False
1990-2018,pen_goals_for,South Korea,29,0,0.0,0.1168032786885246,low,False,0.05290422386295078,False
1990-2018,pen_goals_for,Soviet Union,3,0,0.0,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Spain,35,10,0.2857142857142857,0.1168032786885246,high,True,0.008092662349702451,False
1990-2018,pen_goals_for,Sweden,23,4,0.17391304347826086,0.1168032786885246,high,True,0.34805351397321654,False
1990-2018,pen_goals_for,Switzerland,19,0,0.0,0.1168032786885246,low,False,0.17900470397244203,False
1990-2018,pen_goals_for,Togo,3,0,0.0,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Trinidad and Tobago,3,0,0.0,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Tunisia,12,2,0.16666666666666666,0.1168032786885246,high,True,0.409589376798635,False
1990-2018,pen_goals_for,Turkey,7,0,0.0,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,Ukraine,5,1,0.2,0.1168032786885246,high,True,0.44318234688818386,False
1990-2018,pen_goals_for,United Arab Emirates,3,0,0.0,0.1168032786885246,low,False,1.0,False
1990-2018,pen_goals_for,United States,26,1,0.038461538461538464,0.1168032786885246,low,False,0.37845372117790504,False
1990-2018,pen_goals_for,Uruguay,23,3,0.13043478260869565,0.1168032786885246,high,True,0.7525231219646032,False
1990-2018,pen_goals_for,West Germany,7,2,0.2857142857142857,0.1168032786885246,high,True,0.19731685754374362,False
1990-2018,pen_goals_for,Yugoslavia,9,0,0.0,0.1168032786885246,low,False,0.6309716612609129,False
1990-2018,pen_goals_against,Algeria,7,0,0.0,0.1168032786885246,low,True,1.0,False
1990-2018,pen_goals_against,Angola,3,0,0.0,0.1168032786885246,low,True,1.0,False
1990-2018,pen_goals_against,Argentina,40,5,0.125,0.1168032786885246,high,False,0.8113672192169517,False
1990-2018,pen_goals_against,Australia,13,3,0.23076923076923078,0.1168032786885246,high,False,0.19497375460048022,False
1990-2018,pen_goals_against,Austria,6,1,0.16666666666666666,0.1168032786885246,high,False,0.5048936546443278,False
1990-2018,pen_goals_against,Belgium,27,3,0.1111111111111111,0.1168032786885246,low,True,1.0,False
1990-2018,pen_goals_against,Bolivia,3,1,0.3333333333333333,0.1168032786885246,high,False,0.2959806813159055,False
1990-2018,pen_goals_against,Bosnia and Herzegovina,3,0,0.0,0.1168032786885246,low,True,1.0,False
1990-2018,pen_goals_against,Brazil,47,4,0.0851063829787234,0.1168032786885246,low,True,0.6636792461551744,False
1990-2018,pen_goals_against,Bulgaria,10,3,0.3,0.1168032786885246,high,False,0.11274195340996405,False
1990-2018,pen_goals_against,Cameroon,20,3,0.15,0.1168032786885246,high,False,0.5088050739112301,False
1990-2018,pen_goals_against,Chile,12,2,0.16666666666666666,0.1168032786885246,high,False,0.409589376798635,False
1990-2018,pen_goals_against,China,3,1,0.3333333333333333,0.1168032786885246,high,False,0.2959806813159055,False
1990-2018,pen_goals_against,Colombia,19,2,0.10526315789473684,0.1168032786885246,low,True,1.0,False
1990-2018,pen_goals_against,Costa Rica,18,1,0.05555555555555555,0.1168032786885246,low,True,0.7276319809633879,False
1990-2018,pen_goals_against,Croatia,23,5,0.21739130434782608,0.1168032786885246,high,False,0.19871760324558652,False
1990-2018,pen_goals_against,Czech Republic,3,0,0.0,0.1168032786885246,low,True,1.0,False
1990-2018,pen_goals_against,Czechoslovakia,5,1,0.2,0.1168032786885246,high,False,0.44318234688818386,False
1990-2018,pen_goals_against,Denmark,16,2,0.125,0.1168032786885246,high,False,0.711334452543155,False
1990-2018,pen_goals_against,Ecuador,10,0,0.0,0.1168032786885246,low,True,0.6352116817696161,False
1990-2018,pen_goals_against,Egypt,6,1,0.16666666666666666,0.1168032786885246,high,False,0.5048936546443278,False
1990-2018,pen_goals_against,England,35,4,0.11428571428571428,0.1168032786885246,low,True,1.0,False
1990-2018,pen_goals_against,France,32,4,0.125,0.1168032786885246,high,False,0.7905346676527234,False
1990-2018,pen_goals_against,Germany,41,0,0.0,0.1168032786885246,low,True,0.016201983795592033,False
1990-2018,pen_goals_against,Ghana,12,1,0.08333333333333333,0.1168032786885246,low,True,1.0,False
1990-2018,pen_goals_against,Greece,10,3,0.3,0.1168032786885246,high,False,0.11274195340996405,False
1990-2018,pen_goals_against,Honduras,6,1,0.16666666666666666,0.1168032786885246,high,False,0.5048936546443278,False
1990-2018,pen_goals_against,Iceland,3,0,0.0,0.1168032786885246,low,True,1.0,False
1990-2018,pen_goals_against,Iran,12,1,0.08333333333333333,0.1168032786885246,low,True,1.0,False
1990-2018,pen_goals_against,Italy,36,3,0.08333333333333333,0.1168032786885246,low,True,0.8021628989455627,False
1990-2018,pen_goals_against,Ivory Coast,9,1,0.1111111111111111,0.1168032786885246,low,True,1.0,False
1990-2018,pen_goals_against,Jamaica,3,1,0.3333333333333333,0.1168032786885246,high,False,0.2959806813159055,False
1990-2018,pen_goals_against,Japan,21,1,0.047619047619047616,0.1168032786885246,low,True,0.5248983896905797,False
1990-2018,pen_goals_against,Mexico,28,3,0.10714285714285714,0.1168032786885246,low,True,1.0,False
1990-2018,pen_goals_against,Morocco,9,1,0.1111111111111111,0.1168032786885246,low,True,1.0,False
1990-2018,pen_goals_against,Netherlands,34,5,0.14705882352941177,0.1168032786885246,high,False,0.6025948890484207,False
1990-2018,pen_goals_against,New Zealand,3,1,0.3333333333333333,0.1168032786885246,high,False,0.2959806813159055,False
1990-2018,pen_goals_against,Nigeria,21,3,0.14285714285714285,0.1168032786885246,high,False,0.7390902600083412,False
1990-2018,pen_goals_against,North Korea,3,0,0.0,0.1168032786885246,low,True,1.0,False
1990-2018,pen_goals_against,Norway,7,0,0.0,0.1168032786885246,low,True,1.0,False
1990-2018,pen_goals_against,Panama,3,2,0.6666666666666666,0.1168032786885246,high,False,0.04852476457391131,False
